GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,com.codexasistemas.todoapp.api.mapper,TagMapper,24,0,0,0,8,0,3,0,3,0
api,com.codexasistemas.todoapp.api.mapper,UserMapper,43,0,4,0,15,0,5,0,3,0
api,com.codexasistemas.todoapp.api.mapper,TaskMapper,4,102,1,5,1,32,2,4,1,2
api,com.codexasistemas.todoapp.api.mapper,CategoryMapper,32,0,2,0,9,0,4,0,3,0
api,com.codexasistemas.todoapp.api.dto.auth,RegisterResponseDto,44,0,12,0,8,0,7,0,1,0
api,com.codexasistemas.todoapp.api.dto.auth,RegisterRequestDto,42,0,12,0,8,0,7,0,1,0
api,com.codexasistemas.todoapp.api.dto.auth,LoginResponseDto,44,0,12,0,8,0,7,0,1,0
api,com.codexasistemas.todoapp.api.dto.auth,LoginRequestDto,9,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.category,CategoryRequestDto,9,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.category,CategoryResponseDto,12,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.category,CategoryWithTaskCountDto,18,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.location,LocationDto,0,15,0,0,0,1,0,1,0,1
api,com.codexasistemas.todoapp.api.controller,CategoryController,52,3,0,0,11,1,6,1,6,1
api,com.codexasistemas.todoapp.api.controller,TaskController,61,3,0,0,14,1,7,1,7,1
api,com.codexasistemas.todoapp.api.controller,AuthController,14,3,0,0,2,1,2,1,2,1
api,com.codexasistemas.todoapp.api.controller,UserController,63,3,0,0,9,1,8,1,8,1
api,com.codexasistemas.todoapp.api.controller,TagController,46,3,0,0,10,1,5,1,5,1
api,com.codexasistemas.todoapp.api,ApiApplication,27,3,0,0,6,1,1,1,1,1
api,com.codexasistemas.todoapp.api.dto.tag,TagResponseDto,9,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.tag,TagWithTaskCountDto,15,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.dto.tag,TagRequestDto,9,0,0,0,1,0,1,0,1,0
api,com.codexasistemas.todoapp.api.service.impl,CategoryServiceImpl,126,12,0,0,28,3,10,2,10,2
api,com.codexasistemas.todoapp.api.service.impl,TagServiceImpl,107,18,0,0,24,3,8,3,8,3
api,com.codexasistemas.todoapp.api.service.impl,TaskServiceImpl,169,93,8,2,35,21,12,6,8,5
api,com.codexasistemas.todoapp.api.service.impl,AuthServiceImpl,67,3,4,0,12,1,4,1,2,1
api,com.codexasistemas.todoapp.api.service.impl,UserServiceImpl,286,23,24,2,69,4,31,3,18,3
api,com.codexasistemas.todoapp.api.exception,GlobalExceptionHandler,51,3,4,0,10,1,6,1,4,1
api,com.codexasistemas.todoapp.api.model,Task,87,76,22,10,19,28,20,12,6,10
api,com.codexasistemas.todoapp.api.model,Location,15,46,6,6,3,10,6,2,0,2
api,com.codexasistemas.todoapp.api.dto.task,TaskRequestDto,0,24,0,0,0,1,0,1,0,1
api,com.codexasistemas.todoapp.api.dto.task,TaskResponseDto,0,33,0,0,0,1,0,1,0,1
api,com.codexasistemas.todoapp.api.dto.user,UserResponseDto,44,0,12,0,8,0,7,0,1,0
api,com.codexasistemas.todoapp.api.dto.user,UserRequestDto,64,0,16,0,12,0,10,0,2,0
api,com.codexasistemas.todoapp.api.repository.impl,CategoryRepositoryImpl,20,11,0,0,5,4,4,2,4,2
api,com.codexasistemas.todoapp.api.repository.impl,TaskRepositoryImpl,14,17,0,0,4,5,3,3,3,3
api,com.codexasistemas.todoapp.api.repository.impl,TagRepositoryImpl,20,11,0,0,5,4,4,2,4,2
api,com.codexasistemas.todoapp.api.repository.impl,UserRepositoryImpl,30,11,0,0,7,4,6,2,6,2
